S. No.,news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
1,"एमएसपी को अधिक प्रभावी बनाने के लिए बनी समिति, संयुक्त किसान मोर्चा के सदस्य शामिल होंगे या नहीं, फैसला आज","जून, 2020 में लाये गये तीन विवादास्पद कृषि कानूनों के खिलाफ चले किसान आंदोलन को समाप्त करने के लिए सरकार और संयुक्त किसान मोर्चा (एसकेएम) के बीच सहमति के बिंदुओं में शामिल न्यूनतम समर्थन मूल्य (एमएसपी) पर समिति गठित करने का वादा किया था.","मंगलवार जुलाई 19, 2022 11:50 AM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
2,"संयुक्त किसान मोर्चा करेगा ""वादाखिलाफी विरोधी सभा"" का आयोजन, केंद्र पर लगाया वादे से पीछे हटने का आरोप","सरकार की वादाखिलाफी के विरोध में, 18 जुलाई को संसद के मानसून सत्र की शुरुआत से 31 जुलाई शहीद उधम सिंह की शहादत दिवस तक, देशभर में जिला स्तर पर “वादाखिलाफी विरोधी सभा” आयोजित की जाएगी.","सोमवार जुलाई 4, 2022 07:13 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
,"संयुक्त किसान मोर्चा करे ""वादाखिलाफी विरोधी सभा"" का आयोजन, केंद्र पर लगाया वादे से पीछे हटने का आरोप","सरकार का वादाखिलाफी के विरोध में, 18 जुलाई को संसद के मानसून सत्र का शुरुआत से 31 जुलाई शहीद उधम सिंह की शहादत दिवस तक, देशभर में जिला स्तर पर ""वादाखिलाफी प्रेरक सभा"" आयोजित का जाएगी.","सोमवार जुलाई 4, 2022 07:13 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
3,"किसानों को स्टेडियमों में कैद करना चाहती थी केंद्र सरकार, लेकिन...': पंजाब में बोले अरविंद केजरीवाल","केजरीवाल ने कहा, "" दिल्ली सरकार ने आंदोलनरत किसानों की मदद की. उनको पीने का साफ पानी दिया, शौचालय की सुविधा दी, लंगर में खाना खिलाया. हमें खुशी है कि हमने किसान भाइयों की मदद की.""","रविवार मई 22, 2022 07:05 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,Quote
4,किसान आंदोलन में प्रधानमंत्री मोदी पर हमलावर रहे गवर्नर सत्यपाल मलिक ने क्यों की प्रधानमंत्री मोदी की तारीफ़,किसानों के आंदोलन (किसान आंदोलन) पर केंद्र सरकार के खिलाफ हमलावर तेवर अपनाते रहे मेघालय के राज्यपाल सत्यपाल मलिक ने पीएम नरेंद्र मोदी  ( नरेंद्र मोदी) की तारीफ़ की है.,"शुक्रवार अप्रैल 22, 2022 05:53 PM IST",NDTV News,Kisaan Andolan,Pro BJP,Neutral,
8,"किसान नेताओं ने मामले वापस लेने के फैसले का स्वागत किया, केंद्र से अन्य वादों को पूरा करने का आग्रह",किसान नेता और एसकेएम की कोर समिति के सदस्य शिव कुमार कक्का ने आंदोलन के दौरान किसानों के खिलाफ दर्ज मामलों को वापस लेने के लिए दिल्ली के उप-राज्यपाल अनिल बैजल और दिल्ली सरकार की सराहना की.,"मंगलवार मार्च 1, 2022 10:32 PM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
11,"पंजाब ने आंदोलन में मारे गए किसानों के परिजनों को दी सरकारी नौकरी, 27 को बांटे अप्वाइंटमेंट लेटर",पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने कृषि कानूनों के विरोध में आंदोलन के दौरान जान गंवाने वाले किसानों के परिवार के 27 सदस्यों को सरकारी नौकरी के नियुक्ति पत्र सौंपे. बता दें कि केंद्र ने अब तीनों कृषि कनूनों को वापस ले लिया है.,"बुधवार जनवरी 5, 2022 09:19 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
12,भूमिहीन किसानों पर सरकार का अगला वार'... राकेश टिकैत ने सरकार पर लगाया आरोप,"टिकैत ने कहा, ‘‘सरकार का ध्यान किसानों की जमीन पर है इससे सचेत रहने की जरूरत है. सरकार का अगला वार उन भूमिहीन किसानों पर है जो पशु पालकर, दूध बेचकर गुजर-बसर करते हैं.''","सोमवार जनवरी 3, 2022 12:20 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Pro Kisan,Quote
13,कृषि कानूनों के विरोध में किसान आंदोलन सुर्खियों में रहा पर कृषि सुधारों की उम्मीद कायम,कोरोना महामारी से जुड़ी तमाम दिक्कतों के बीच वर्ष 2022 में भी बेहतर उपज की उम्मीद की जा रही है. देश में खाद्यान्न उत्पादन लगातार बढ़ रहा है. इससे सरकार को कई महीनों तक कोविड प्रभावित गरीब परिवारों के लिए मुफ्त अतिरिक्त राशन प्रदान करने में मदद मिली. वहीं कृषि कानून के खिलाफ दिल्ली की सीमाओं पर किसानों के लंबे विरोध के बाद इन्हें रद्द किया गया.,"मंगलवार दिसम्बर 28, 2021 04:40 PM IST",NDTV News,Kisaan Andolan,Neutral,Neutral,
16,"आंदोलन खत्म होने के बाद जीत की खुशी संग घर लौटते किसान, नाचते-गाते आए नजर","ट्रैक्टरों के बड़े-बड़े काफिलों के साथ पिछले साल नवंबर में दिल्ली की सीमाओं पर पहुंचे आंदोलनरत किसानों ने शनिवार की सुबह अपने-अपने गृह राज्यों की तरफ लौटना शुरू कर दिया. साल भर से ज्यादा वक्त तक अपने घरों से दूर डेरा डाले हुए ये किसान अपने साथ जीत की खुशी और सफल प्रदर्शन की यादें लेकर लौट रहे हैं. किसानों ने सिंघु, टिकरी और गाजीपुर सीमाओं पर राजमार्गों पर नाकेबंदी हटा दी और तीन विवादास्पद कृषि कानूनों को निरस्त करने और फसलों के लिए न्यूनतम समर्थन मूल्य (एमएसपी) पर कानूनी गारंटी के लिए एक समिति गठित करने सहित उनकी अन्य मांगों को पूरा करने के लिए केंद्र के लिखित आश्वासन का जश्न मनाने के लिए एक ''विजय मार्च'' निकाला.","शनिवार दिसम्बर 11, 2021 10:08 AM IST",NDTV News,Kisaan Andolan,Anti BJP,Neutral,
