,news_title,news_details,source_name,event
0,"कर्नाटक हिजाब मामले में फैसला महफूज़, SC में 10 दिन तक हुई सुनवाई",Hijab Case: कर्नाटक हिजाब मामले में सुप्रीम कोर्ट में सुनवाई पूरी को गई है. सुप्रीम कोर्ट ने 10 दिनों तक हुई बहस के बाद फैसला महफूज़ रख लिया है. पढ़िए पूरी ख़बर,ZEE News,Hijab Controversy
1,"हिजाब पहनना इस्लाम की अनिवार्य धार्मिक परम्परा नहीं, सरकार की दलील","Hijab Case: सुनवाई के दौरान जस्टिस हेमंत गुप्ता  ने सवाल किया कि हिजाब  समर्थक पक्ष के वकीलों की दलील है कि जो भी कुरान में लिखा है, वो अल्लाह का आदेश है, उसे मानना अनिवार्य है.   ",ZEE News,Hijab Controversy
2,हिजाब बैन को लेकर आज भी सुप्रीम कोर्ट में होगी सुनवाई,हिजाब बैन के खिलाफ दाखिल याचिका पर आज भी सुप्रीम कोर्ट में सुनवाई जारी रहेगी. सोमवार को भी कई दलीलें पेश की गईं.,ZEE News,Hijab Controversy
3,"हिजाब पर छूट, वर्ना हम चले मदरसे?",दिसंबर में कर्नाटक में अचानक से शुरू हुआ हिजाब विवाद देखते ही देखते बवंडर बनकर देश भर में फैल गया. हिजाब पर कर्नाटक हाई कोर्ट के फैसले के बाद 17 हजार छात्राओं ने स्कूल छोड़ दिया. याचिका कर्ताओं की पैरवी कर रहे हुजैफा अहमदी ने कहा कि हिजाब बैन से लडकियां वापस मदरसा चली जाएंगी.,ZEE News,Hijab Controversy
4,"मदरसा छोड़ने को तैयार, हिजाब नहीं !",हिजाब पर कर्नाटक हाई कोर्ट के फैसले के बाद 17 हजार छात्राओं ने स्कूल छोड़ दिया. इस पर सुप्रीम कोर्ट ने पूछा है कि क्या लड़कियों को हिजाब पहनने पर मजबूर किया जा रहा है. याचिका कर्ताओं की पैरवी कर रहे हुजैफा अहमदी ने कहा कि हिजाब बैन से लडकियां वापस मदरसा चली जाएंगी.,ZEE News,Hijab Controversy
5,"कुरान के आधार पर नहीं,महिलाओं के अधिकार पर हो फैसला- मुस्लिम पक्ष","हिजाब विवाद में अब मुस्लिम पक्ष ने सुप्रीम कोर्ट से कहा है कि, फैसला महिलाओं के अधिकार पर हो ना कि कुरान के आधार पर",ZEE News,Hijab Controversy
6," यूनिफॉर्म जरूरी है, उससे किसी को दिक्कत नहीं, लेकिन हिजाब कुछ अलग है: SC"," सुप्रीम कोर्ट में हिजाब मामले पर बीते कल चौथे दिन की सुनवाई पूरी हुई है. यहां याचिकाकर्ता के पक्ष के वकील सलमान खुर्शीद ने स्कूल कॉलेज में हिजाब पहनने की इजाजत दिए जाने के पक्ष में कहा कि स्कूल में ड्रेस जरूरी है उससे किसी को दिक्कत नहीं है, लेकिन हिजाब कुछ अलग है.",ZEE News,Hijab Controversy
7,"हिजाब पहने लड़कियां कर रहीं ये खास काम, हो गईं वायरल","वीडियो में देखा जा सकता है कि ओणम के मौके पर स्कूल में कार्यक्रम का आयोजन किया गया है, जिसमें कुछ लड़कियां स्टेज पर साड़ी और हिजाब पहनकर डांस करती नजर आ रही हैं, साथ ही ऑडियंस यानी जो लड़कियां उनका डांस देख रही हैं, वो भी हिजाब पहने गाने पर झूमती नजर आ रही हैं. यह वीडियो केरल के एक सरकारी स्कूल का है, जिसने लोगों का दिल जीत लिया है.",ZEE News,Hijab Controversy
8,"रुद्राक्ष और क्रॉस की तुलना हिजाब से नहीं की जा सकती, सुप्रीम कोर्ट की टिप्पणी","Supreme Court ने ये टिप्पणी याचिकाकर्ता की ओर से पेश देवदत्त कामत की दलीलों पर की. कामत का कहना था कि स्कूल में छात्र क्रॉस या रुद्राक्ष भी पहनते है, सिर्फ एक समुदाय विशेष को टारगेट किया जा रहा है. ",ZEE News,Hijab Controversy
9,"मुस्लिम शख्स ने SC में हिजाब का किया विरोध, कहा- पवित्र कुरान में इसका जिक्र नहीं","सुप्रीम कोर्ट में एक हस्तक्षेप याचिका दायर कर भारतीय सशस्त्र बलों के एक पूर्व अधिकारी सैयद हबीब-उर-रहमान मुस्लिम महिलाओं पर हिजाब को थोपने का विरोध किया है, और इसे धर्म का जरूरी हिस्सा नहीं माना है. ",ZEE News,Hijab Controversy
10,"हिजाब विवाद पर सुप्रीम कोर्ट की अहम टिप्पणी, कहा - यह धार्मिक विवाद नहीं!",Hijab Controversy: सुनवाई के दौरान याचिकाकर्ता के वकील संजय हेगड़े ने कहा कि कॉलेज में ज्यादा कपड़े पहनना ड्रेस कोड का उल्लंघन नहीं है. धार्मिक वजहों से टारगेट किया जा रहा है.,ZEE News,Hijab Controversy
11,केरल के कोझिकोड में हिजाब बैन के खिलाफ प्रदर्शन,केरल में भी अब हिजाब विवाद शुरु हो गया है. कोझिकोड में एक स्कूल में हिजाब बैन के खिलाफ प्रदर्शन किया जा रहा है. छात्राओं का आरोप है कि स्कूल में कई टीचर हेड स्कार्फ पहनकर आते हैं तो फिर हिजाब पहनने पर पाबंदी क्यों.,ZEE News,Hijab Controversy
12,AIMIM प्रमुख ओवैसी की प्रेस कॉन्फेंस,कुछ खास जगहों पर नमाज पढ़ने को लेकर होने वाले विवाद के मुद्दे पर ओवैसी ने सवाल उठाए. ओवैसी ने कहा कि मुस्लिमों को नमाज पढ़ने से रोका गया. ओवैसी ने दुमका की घटना पर दुख जताया.,ZEE News,Hijab Controversy
13,"कर्नाटक हिजाब मामले में SC का नोटिस, सुनवाई टालने की मांग पर याचिकाकर्ताओं को फटकार",Hijab ban: याचिकाकर्ताओं ने कर्नाटक हाई कोर्ट के फैसले के खिलाफ सुप्रीम कोर्ट का रुख किया था. 15 मार्च को कर्नाटक हाईकोर्ट ने फैसला दिया था कि महिलाओं का हिजाब पहनना इस्लाम का अनिवार्य हिस्सा नहीं है और स्कूल-कॉलेज में यूनिफॉर्म के पालन का राज्य का आदेश सही है.,ZEE News,Hijab Controversy
14,"हिजाब पहने लड़कियां मदरसे से तिरंगा लेकर निकलीं, बोलीं- मेरी जान तिरंगा है",आजादी के अमृत महोत्सव के तहत विद्यालयों के साथ मदरसों में पढ़ने वाली छात्राओं ने तिरंगा यात्रा निकाल देश भक्ति का संदेश दिया.,ZEE News,Hijab Controversy
15,क्या रणवीर के न्यूड फोटोशूट की हिजाब मामले से तुलना जायज है?,बॉलीवुड एक्टर रणवीर सिंह अक्सर सुर्खियों में रहते हैं. इस बार वो अपने न्यूड फोटोशूट को लेकर सुर्खियों में है. लेकिन उनके इस फोटोशूट पर राजनीति करने के लिए सपा नेता अबू आजमी में सामने आ गए हैं.अबू आजमी ने सवाल उठाए हुए पूछा है कि नंगी तस्वीरें सार्वजनिक करना आजादी है तो हिजाब पहनना क्यों नहीं? ऐसे में सवाल ये है कि क्या रणवीर के न्यूड फोटोशूट की हिजाब मामले से तुलना जायज है.,ZEE News,Hijab Controversy
16,अब महाराष्ट्र के कॉलेज से उठा हिजाब विवाद,हिजाब को लेकर एक बार फिर से विवाद शुरू हो गया है. इस बार हिजाब विवाद का केन्द्र बना है महाराष्ट्र. यहां छात्राओं ने कॉलेज प्रशासन पर हिजाब उतरवाने का आरोप लगाया है. जबकि कॉलेज प्रशासन ने आरोपों से इंकार किया है.,ZEE News,Hijab Controversy
17,नीट एग्जाम देने आईं छात्राओं का आरोप- सेंटर्स पर बुर्का-हिजाब उतारने को कहा गया,"NEET Exam 2022: एक पीड़ित छात्रा ने बताया कि संबंधित कॉलेज के अधिकारियों ने पहले उन्हें परीक्षा के लिए परिसर में आने की अनुमति दी और फिर बाद में उन्हें अपना हिजाब और बुर्का बाहर निकालने के लिए कहा. एक छात्रा ने कहा, 'हमने उन्हें अपनी जांच करने और फिर हमें अंदर जाने की अनुमति देने के लिए कहा, लेकिन संबंधित कर्मचारियों ने हमसे अपमानजनक तरीके से बात की और उनका व्यवहार अच्छा नहीं था.'",ZEE News,Hijab Controversy
18,"नीट परीक्षा में हिजाब मामला, बजरंग दल ने अनुमति देने वालों पर की कार्रवाई की मांग","देश की सबसे बड़ी मेडिकल परीक्षा में कोटा में हुए ड्रेस कोड के उल्लंघन के मामले ने अब तूल पकड़ लिया है. रविवार को हुई मेडिकल परीक्षा में दादाबाड़ी स्थित मोदी कॉलेज सेंटर पर आधा दर्जन छात्राओं ने हिजाब में ही परीक्षा दी थी, जिसमें नियमों का उल्लंघन हुआ था.",ZEE News,Hijab Controversy
19,"इस राज्य में सरकारी स्कूलों को मदरसा बनाने की कोशिश, अब जुम्मे को होती है छुट्टी","DNA on Jharkhand Jamtada School Controversy: झारखंड (Jharkhand) के जामताड़ा (Jamtada) से ऐसी खबर आई है, जो चिंता बढ़ाती है. वहां पर कुछ सरकारी स्कूलों में छुट्टी का दिन बदलकर जुम्मा यानी शुक्रवार दिया गया है.",ZEE News,Hijab Controversy
