S.No.,news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
1,हिजाब विवाद के खिलाफ दुनियाभर में भड़की आग,हिजाब के खिलाफ हो रहा प्रदर्शन अब सीरिया तक पहुंच चुका है. ईरान में भी हिजाब के विरोध में हो रहा महिलाओं का प्रदर्शन उग्र होता जा रहा है.,"Sep 27,2022, 10:46 AM IST",ZEE News,Hijab Controversy,,,Iran
2,Iran: हिजाब विरोध की 'आग' में जल रहा ईरान!,ईरान में हिजाब के खिलाफ महिलाओं का प्रदर्शन उग्र हो चला है. कई दिनों से प्रदर्शनकारी रोड पर निकल कर प्रदर्शन कर रहे हैं. पर अब पुलिस इनकी आवाज़ दबाने के लिए हरसंभव कोशिश कर रहा है.,"Sep 26,2022, 12:22 PM IST",ZEE News,Hijab Controversy,,,Iran
3,"लोगों ने जलाई सुप्रीम लीडर खामनेई की तस्वीर, लगाए 'मुल्लाओं को जाना होगा' के नारे",Iran Hijab row: महसा अमीनी (Mahsa Amini) की मौत के बाद ईरान (Iran) के कई शहरों में हिजाब के खिलाफ प्रदर्शन हो रहा है. ईरान के सुप्रीम लीडर की एक बड़ी तस्वीर में भी आग लगाने की बात सामने आई है.,"Sep 24,2022, 7:01 AM IST",ZEE News,Hijab Controversy,,,Iran
4,Kasam Samvidhan Ki: हिजाब क्रांति... इंडिया में भ्रांति!,हिजाब विवाद को लेकर ईरान सुलग रहा है. ईरान की हिजाब क्रांति पर भारत में भ्रांति है. बीजेपी नेता सुब्रमण्यम स्वामी स्वामी ने कहा कि भारत में कभी हिजाब को बैन करने की बात नहीं उठेगी.,"Sep 23,2022, 23:56 PM IST",ZEE News,Hijab Controversy,,,Iran
5,ईरान के अधिकारी US में कर रहे भागमभाग! मुंह छुपाने को हैं मजबूर; ये है कारण,Iran Protest: ईरान (Iran) के अधिकारियों से जब हिजाब विवाद को लेकर सवाल पूछा जा रहा है तो वो भागते हुए नजर आ रहे हैं. हिजाब विवाद ने अमेरिका में भी ईरानी अधिकारियों का पीछा नहीं छोड़ा है.,"Sep 23,2022, 13:47 PM IST",ZEE News,Hijab Controversy,,,Iran
6,UN तक पहुंचा ईरान का हिजाब विवाद,ईरान का हिजाब विवाद अब अमेरिका के यूएन तक पहुंच गया है. हिजाब विवाद पर मुंह छुपाती फिरती नजर आई ईरान सरकार. राष्ट्रपति इब्राहिम रईसी ने महिला पत्रकारों को न्यूयॉर्क में इंटरव्यू देने से इनकार कर दिया.,"Sep 23,2022, 13:36 PM IST",ZEE News,Hijab Controversy,,,Iran
7,ईरान में सड़कों पर जली हिजाब की 'चिता',ईरान में 16 प्रांतों में हिजाब के खिलाफ विरोध प्रदर्शन हो रहे हैं और यह संख्या बढ़ती जा रही है. वहीं दुनिया के कई देशों में भी हिजाब के खिलाफ महिलाएं सड़कों पर हैं. महिलाओं ने सड़कों पर हिजाब जलाया और हिंसा में अब तक 9 लोगों की मौत हो गई है.,"Sep 23,2022, 9:32 AM IST",ZEE News,Hijab Controversy,,,Iran
8,"ईरानी राष्ट्रपति ने एंकर के सामने रखी हिजाब पहनने की शर्त, इनकार पर इंटरव्यू रद्द","Hijab Controversy: ईरान राष्ट्रपति अब्राहिम रायसी का यह इंटरव्यू अमेरिका में होना था. इंटरव्यू से करीब आधे घंटे पहले उनके सहयोगी ने महिला न्यूज एंकर के सामने रखी हिजाब पहनने की शर्त. इस पर एंकर ने कहा, इंटरव्यू ईरान से बाहर है तो हिजाब क्यों, इसके बाद रायसी ने रद्द किया इंटरव्यू.","Sep 23,2022, 7:46 AM IST",ZEE News,Hijab Controversy,,,Iran
9,कट्टरपंथी कानून के बावजूद कैसे 'आजादी' का रास्ता ढूंढ रही हैं ईरानी लड़कियां?,"किताब 'City of Lies: Love, Sex, Death, and the Search for Truth in Tehran' में ईरानी महिलाओं को लेकर कई चौंकाने वाली जानकारी दी गई थी.","Sep 22,2022, 18:27 PM IST",ZEE News,Hijab Controversy,,,Iran
10,"कर्नाटक हिजाब मामले में फैसला महफूज़, SC में 10 दिन तक हुई सुनवाई",Hijab Case: कर्नाटक हिजाब मामले में सुप्रीम कोर्ट में सुनवाई पूरी को गई है. सुप्रीम कोर्ट ने 10 दिनों तक हुई बहस के बाद फैसला महफूज़ रख लिया है. पढ़िए पूरी ख़बर,"Sep 22,2022, 18:21 PM IST",ZEE News,Hijab Controversy,,Neutral,
