,news_title,news_details,news_date,source_name
0,"हिजाब के खिलाफ ईरानी महिलाओं का हल्ला बोल: कब्र पर बहन ने काटे बाल, वायरल हो रहा VIDEO","Iran Protest: हिजाब को लेकर ईरानी सरकार के खिलाफ व्यापक प्रदर्शन चल रहा है. हाल ही में सोशल मीडिया पर जवाद हैदरी नाम के एक प्रदर्शनकारी के अंतिम संस्कार का वीडियो वायरल हो रहा है, जिसमें उनकी बहन कब्र पर अपने बालों को काटती हुई नजर आ रही हैं.","सोमवार सितम्बर 26, 2022 12:02 PM IST",NDTV News
1,"ईरान में हिजाब-विरोधी प्रदर्शन तेज़, मृत प्रदर्शनकारी की कब्र पर बहन ने काटे बाल - देखें VIDEO","एएफपी के अनुसार हाल ही में, फ्रांसीसी पुलिस ने पेरिस में विरोध कर रहे सैकड़ों लोगों को तेहरान के दूतावास पर मार्च करने से रोकने के लिए आंसू गैस का इस्तेमाल किया.","सोमवार सितम्बर 26, 2022 10:29 AM IST",NDTV News
2,"ईरान : हिजाब के खिलाफ जारी प्रदर्शन में अबतक 41 मौत, 700 से अधिक गिरफ्तार",सोशल मीडिया पर वायरल वीडियो और तस्वीरें तेहरान के साथ-साथ देश के अन्य शहरों में भी प्रदर्शनकारियों को सरकार के कड़े कानूनों की निंदा करते हुए दिखाती हैं.,"रविवार सितम्बर 25, 2022 03:41 AM IST",NDTV News
3,"अमेरिकी एंकर से ""Hijab पहनने की ज़िद"" के चलते रद्द हो गया Iran के राष्ट्रपति का इंटरव्यू",अमेरिका की वरिष्ठ पत्रकार क्रिश्चय अमनपोर (Christiane Amanpour) ने कहा कि वो संयुक्त राष्ट्र की महासभा (UNGA) से इतर बुधवार को ईरान (Iran) के राष्ट्रपति इब्राहिम रायसी (Iranian President Ebrahim Raisi ) इंटरव्यू के लिए तैयार थीं जब राष्ट्रपति के एक सहायक ने जोर डाला कि वो अपने बाल ढ़कें.,"शुक्रवार सितम्बर 23, 2022 11:14 AM IST",NDTV News
4,"Iran Hijab : प्रदर्शनकारियों पर सुरक्षाबलों की कार्रवाई, 31 की मौत, हिरासत में महसा के मारे जाने से भड़कीं थीं महिलाएं","ईरान (Iran) में महसा अमीनी की हिजाब (Hijab) मामले में हिरासत में हुई मौत के बाद विरोध प्रदर्शन भड़के थे.अमीनी को हिजाब न पहनने पर नैतिक पुलिस (Iran Morality Police) ने हिरासत में लिया था, जिसके बाद उनकी मौत हो गई.","गुरुवार सितम्बर 22, 2022 08:07 PM IST",NDTV News
5,"5 प्‍वाइंट न्‍यूज : हिजाब मामले पर सुप्रीम कोर्ट में हुई सुनवाई, 5 खास बातें..","हिजाब मामले पर सुप्रीम कोर्ट में मंगलवार को सुनवाई हुई. सुनवाई के दौरान हिजाब बैन पर दुष्यंत दवे ने कहा कि सरकार की दलील है कि अनुच्छेद 25 और 26 के तहत संरक्षण सिर्फ उनके लिए है, जो धर्म का अभिन्न और अनिवार्य हिस्सा है. ये अभ्यास धार्मिक अभ्यास हो सकता है, लेकिन उस धर्म के अभ्यास का एक अनिवार्य और अभिन्न अंग नहीं है.","मंगलवार सितम्बर 20, 2022 09:45 PM IST",NDTV News
6,"ईरान में पर्दा बवाल: 22 साल की महिला की मौत पर आक्रोश, महिलाओं ने जलाए हिजाब, काटे बाल",ईरान में हिजाब विवाद ने तूल पकड़ लिया है. 22 वर्षीय महिला महसा अमीनी की मौत के बाद अब महिलाएं हिजाब जलाकर और कुछ महिलाएं अपने बाल काटकर अपना विरोध दर्ज कर रही हैं.,"सोमवार सितम्बर 19, 2022 03:29 PM IST",NDTV News
7,5 प्वाइंट न्यूज : सुप्रीम कोर्ट में हिजाब मामले की सुनवाई से जुड़ी 5 सबसे अहम बातें,हिजाब प्रतिबंध विवाद को लेकर सुप्रीम कोर्ट में बहस चल रही है. सोमवार को वरिष्ठ वकील सलमान खुर्शीद (Salman Khurshid)  ने कहा कि इस्लाम में अनिवार्य और गैर-अनिवार्य जैसी कोई बात नहीं है. कुरान में जो कुछ है वह अनिवार्य है और पैगंबर ने जो व्याख्या की है वह भी अनिवार्य है. ,"सोमवार सितम्बर 12, 2022 10:53 PM IST",NDTV News
8,"कर्नाटक में हिजाब विवाद पर सुनवाई करेगा सुप्रीम कोर्ट, हाईकोर्ट के फैसले के खिलाफ कई याचिकाएं",कर्नाटक हाईकोर्ट की फुल बेंच ने दिया है फैसला देते हुए कहा है. हिजाब पहनना इस्लामिक आस्था की अनिवार्य प्रथा का हिस्सा नहीं है. यूनिफार्म तय करना मौलिक अधिकार पर वाजिब पाबंदी है. कर्नाटक सरकार के आदेश पर मुहर लगाई गई है .,"बुधवार जुलाई 13, 2022 11:44 AM IST",NDTV News
9,"2 दिन इंतजार कीजिए, फिर तय करेंगे कि...: कर्नाटक हिजाब बैन मामले में SC में सुनवाई पर बोले CJI",हिजाब बैन पर हाईकोर्ट के फैसले पर रोक की मांग की गई है. कर्नाटक हाईकोर्ट की फुल बेंच ने फैसला देते हुए कहा है कि हिजाब पहनना इस्लामिक आस्था की अनिवार्य प्रथा का हिस्सा नहीं है .,"मंगलवार अप्रैल 26, 2022 02:10 PM IST",NDTV News
