,news_title,news_details,news_date,source_name
0,"Iran Hijab Row: ईरान हिजाब के बीच बिग बॉस की इस एक्स कंटेस्टेंट की अपनी मां और भाई को लेकर बढ़ी चिंता, लोगों से कर रही हैं इस बात की अपील",मंदाना करीमी ने अपने आधिकारिक इंस्टाग्राम अकाउंट पर अपना एक वीडियो शेयर किया है. वीडियो में हिजाब विवाद की वजह से ईरान में हो रहे विरोध प्रदर्शन पर अपने विचार रखे हैं. इस वीडियो के साथ उन्होंने खास कैप्शन में परिवार के लिए चिंता जाहिर की है.,"सोमवार सितम्बर 26, 2022 09:15 PM IST",NDTV News
1,"Iran Hijab : प्रदर्शनकारियों पर सुरक्षाबलों की कार्रवाई, 31 की मौत, हिरासत में महसा के मारे जाने से भड़कीं थीं महिलाएं","ईरान (Iran) में महसा अमीनी की हिजाब (Hijab) मामले में हिरासत में हुई मौत के बाद विरोध प्रदर्शन भड़के थे.अमीनी को हिजाब न पहनने पर नैतिक पुलिस (Iran Morality Police) ने हिरासत में लिया था, जिसके बाद उनकी मौत हो गई.","गुरुवार सितम्बर 22, 2022 08:07 PM IST",NDTV News
2,"कर्नाटक में फिर गरमाया हिजाब विवाद, मुस्लिम छात्राओं को क्‍लास में बिना हिजाब आने का आदेश","फातिमा नाम की एक छात्रा ने कहा, कोर्ट के फैसले के बाद कुछ नहीं हुआ, हमने शांति से एग्‍जाम दिए, लेकिन हमें हाल ही में बिना हिजाब पहने क्‍लास में आने का एक अनौपचारिक नोट मिला है.","शुक्रवार मई 27, 2022 08:20 AM IST",NDTV News
3,"हिजाब विवाद: HC के फैसले के विरोध में आज कर्नाटक में बंद, जानें क्‍यों नाराज हैं लोग",हिजाब विवाद पर कर्नाटक हाईकोर्ट के आए फैसले पर कई लोगों ने नाराजगी जाहिर की है. इस फैसले के खिलाफ आज कर्नाटक के कई शहरों में बाजारों को बंद रखा गया है और शांतिपूर्ण विरोध किया जा रहा है.,"गुरुवार मार्च 17, 2022 02:28 PM IST",NDTV News
4,हिजाब पर कर्नाटक हाईकोर्ट के फैसले को लेकर झारखंड के कांग्रेस विधायक का विवादित बयान सामने आया,हिजाब के विषय पर आये कर्नाटक उच्च न्यायालय के के ऐतिहासिक फैसले के बाद मंगलवार को झारखंड के कांग्रेस विधायक इरफान अंसारी ने यह टिप्पणी कर लोगों को अचंभित कर दिया कि ‘अब कोर्ट भी भाजपा ही चला रही है.’कर्नाटक उच्च न्यायालय ने छात्राओं के स्कूल में हिजाब पहन कर जाने के विवाद पर आज अपना ऐतिहासिक फैसला सुनाया . न्यायालय की पूर्ण पीठ ने कहा है कि हिजाब पहनना इस्लाम का अभिन्न अंग नहीं है तथा स्कूल और कॉलेजों में हिजाब पहनने पर रोक जारी रहेगी.,"बुधवार मार्च 16, 2022 12:06 AM IST",NDTV News
5,'पहले शिक्षा...'- वार्षिक परीक्षाओं के बीच हिजाब विवाद को लेकर क्या बोली बेंगलुरू की स्कूल मैनेजमेंट,कर्नाटक उच्च न्यायालय के अंतरिम आदेश का हवाला देते हुए अधिकारियों ने सोमवार को शिवमोग्गा और उडुपी जिलों में शैक्षणिक संस्थानों में हिजाब एवं बुर्का पहनी छात्राओं को प्रवेश नहीं करने दिया.,"मंगलवार मार्च 1, 2022 07:06 AM IST",NDTV News
6,'स्कूलों में यूनिफॉर्म पहनकर ही आएं बच्चे'- हिजाब विवाद के बीच दिल्ली SMCD की अधिकारी ने लिखा पत्र,पत्र में धर्म की पहचान उजागर करने वाले कपड़े न पहने की बात लिखी गई है और कहा गया है कि धर्म से जुड़े कपड़े पहनकर बच्चे स्कूल में नहीं आ सकते हैं. इससे बच्चों में असमानताकी भावना आने की संभावना है. इसलिए साधारण दिनों में अपनी यूनिफॉर्म पहनकर ही बच्चे स्कूल आए.,"शुक्रवार फ़रवरी 25, 2022 01:08 PM IST",NDTV News
7,"दिल्ली के स्कूलों में भी पहुंचा हिजाब विवाद, छात्रा के आरोपों पर मनीष सिसोदिया ने बताया सरकार का स्टैंड",Delhi Schools: दिल्ली में सरकारी स्कूल की एक छात्रा द्वारा हिजाब (Hijab controversy) उतारने को कहे जाने का आरोप लगाए जाने के एक दिन बाद बृहस्पतिवार को उप मुख्यमंत्री मनीष सिसोदिया ने कहा कि इस तरह का कोई प्रतिबंध नहीं लगाया गया है और कुछ लोग इस मुद्दे का राजनीतिकरण कर रहे हैं.,"शुक्रवार फ़रवरी 25, 2022 08:33 AM IST",NDTV News
8,"कर्नाटक की स्टूडेंट का आरोप- भीड़ ने मेरे भाई पर किया हमला, हिंसा को हिजाब विवाद से जोड़ा",कर्नाटक हिजाब बैन केस में शामिल याचिकाकर्ताओं में से एक हाजरा शिफा ने आरोप लगाया है कि उसके भाई पर दक्षिण-पंथी समर्थकों की भीड़ ने हमला किया है. उन्होंने इस हिंसा को हिजाब पहनना जारी रखने के अपने फैसले से जोड़ा है. ,"मंगलवार फ़रवरी 22, 2022 06:15 AM IST",NDTV News
9,"बिग बॉस की एक्स कंटेस्टेंट महजबी सिद्दीकी ने छोड़ी इंडस्ट्री, पोस्ट में बोलीं- सना बहन को कर रही हूं फॉलो",महजबी सिद्दीकी से पहले एक्ट्रेस सना खान और जायरा वसीम भी इस्लाम के लिए ग्लैमर की दुनिया से दूर हो गईं,"सोमवार फ़रवरी 21, 2022 07:30 PM IST",NDTV News
