,news_title,news_details,news_date,source_name
0,"कर्नाटक: हिजाब पहनने पर 6 छात्राएं निलंबित, 12 वापस भेजी गईं",आयुक्त ने उन्हें सरकार के नियमों और कोर्ट के आदेश का पालन करने की सलाह दी.,"02 Jun 2022, 6:51 PM IST",The Quint
1,Karnataka Hijab Row: शिक्षा मंत्री बीसी नागेश बोले- केवल यूनिफॉर्म की है अनुमति,मंगलुरु विश्वविद्यालय ने हिजाब पहनने पर रोक लगा दी है जिसका विरोध मुस्लिम छात्राएं कर रही हैं,"28 May 2022, 12:11 PM IST",The Quint
2,"हिजाब पहनने वाली टीचर की परीक्षा केंद्र में ड्यूटी नहीं, कर्नाटक सरकार का आदेश","कर्नाटक सरकार में शिक्षा मंत्री बीसी नागेश ने कहा कि छात्रों के लिए यूनिफॉर्म है, तो शिक्षकों पर भी लागू होना चाहिए.","04 Apr 2022, 5:30 PM IST",The Quint
3,हिजाब विवाद: 'प्रदर्शन में भाग लेने वाले छात्र नहीं दे सकेंगे दोबारा परीक्षा',शिक्षा मंत्री ने कहा कि विरोध-प्रदर्शन के दौरान जिन छात्रों की परीक्षा छूट गई है उन्हें दोबारा मौका नहीं दिया जाएगा.,"21 Mar 2022, 6:19 PM IST",The Quint
4,"हिजाब पर फैसला सुनाने वाले कर्नाटक HC के जजों को मिली हत्या की धमकी, 2 गिरफ्तार",पुलिस ने बताया कि मामले में तमिलनाडु तौहीद जमात के तीन पदाधिकारियों पर केस दर्ज किया गया है.,"20 Mar 2022, 8:58 AM IST",The Quint
5,हिजाब विवाद पर कर्नाटक HC में सरकार ने कहा-“हिजाब जरूरी प्रथा नहीं”,कक्षाओं के अंदर हिजाब प्रतिबंध को चुनौती देते हुए याचिका दायर की गई है.,"21 Feb 2022, 9:40 PM IST",The Quint
6,"बिहार के बैंक में हिजाब पर हो गई बहस, वीडियो वायरल होने के बाद जांच की बात",मुख्यमंत्री जी...कुर्सी की खातिर आप बिहार में यह सब क्या करवा रहे हैं?- तेजस्वी यादव,"21 Feb 2022, 7:13 PM IST",The Quint
7,कर्नाटक: हिजाब हटाना मेरे स्वाभिमान पर चोट- कहकर प्रोफेसर ने दिया इस्तीफा,प्रोफेसर ने कहा- इसके पहले कभी हिजाब हटाने के लिए नहीं कहा गया था,"18 Feb 2022, 6:22 PM IST",The Quint
8,"UP:अलीगढ़ के कॉलेज में हिजाब का विरोध, भगवा गमछा पहन क्लास पहुंचे छात्र",प्रदर्शन के दौरान छात्रों ने टोपी बुर्खा बैन करो के नारे लगाए,"15 Feb 2022, 10:58 AM IST",The Quint
9,"Recap | UP चुनाव, हिजाब विवाद और शाहरुख खान से जुड़े दावों का सच यहां है",उत्तरप्रदेश चुनाव के बीच सोशल मीडिया पर इस हफ्ते वायरल हुए झूठे दावों का सच यहां पर,"12 Feb 2022, 7:34 AM IST",The Quint
10,हिजाब विवाद: आदित्य ठाकरे ने कहा-“किसी भी अन्य पोशाक की छूट नहीं होनी चाहिए”,"हिजाब विवाद के बीच कर्नाटक सरकार ने स्कूलों, कॉलेजों में छुट्टी का ऐलान किया है.","09 Feb 2022, 10:56 PM IST",The Quint
11,"भगवा स्कार्फ में भीड़- जय श्री राम के नारे, लेकिन डटी रही हिजाब पहनी अकेली छात्रा",हिजाब विवाद के बीच कर्नाटक सरकार ने सभी स्कूल-कॉलेज तीन दिन के लिए बंद करने की घोषणा की है.,"08 Feb 2022, 8:08 PM IST",The Quint
12,हिजाब विवाद: कर्नाटक में सभी हाई स्कूल और कॉलेज 3 दिन के लिए बंद किए गए,कर्नाटक के मुख्यमंत्री बसववराज बोम्मई ने ट्वीट करते हुए इस बात की जानकारी दी,"08 Feb 2022, 6:11 PM IST",The Quint
13,हिजाब विवाद पर राहुल गांधी बोले- भारत की बेटियों का भविष्य छिन रहा है,कर्नाटक के कॉलेजों में हिजाब पहनी छात्राओं को क्लास लेने से मना किया गया.,"05 Feb 2022, 12:53 PM IST",The Quint
