,news_title,news_details,news_date,source_name
0,चुनावी राज्यों में Hijab के हिसाब-किताब में उतरा राजनीति का चश्मा,यह संयोग ही कहा जाएगा कि उत्तर प्रदेश सहित पांच राज्यों में विधानसभा चुनाव अभियान भी हिजाब विवाद के दौरान ही गति पकड़ रहा था.,"Mar 15,2022, 21:59 PM IST",ZEE News
1,"हिजाब मामले पर कर्नाटक HC आज सुनाएगा फैसला, कई जिलों में धारा 144 लागू",उडुपी के एक प्री-यूनिवर्सिटी कॉलेज की छात्राओं के एक समूह की कक्षाओं में हिजाब पहनने देने की मांग से तब एक बड़ा विवाद खड़ा हो गया था जब कुछ छात्र विरोध में भगवा गमछा लेकर क्लास में आ गए थे. ,"Mar 14,2022, 21:51 PM IST",ZEE News
2,"ਕਰਨਾਟਕਾ ਵਿਚ ਹਿਜਾਬ ਤੋਂ ਬਾਅਦ ਹੋਇਆ ਪੱਗੜੀ ਵਿਵਾਦ, ਕਾਲਜ ਨੇ ਸਿੱਖ ਲੜਕੀ ਨੂੰ ਦਸਤਾਰ ਉਤਾਰਣ ਲਈ ਕਿ",ਇੱਕ 17 ਸਾਲਾ ਅੰਮ੍ਰਿਤਧਾਰੀ ਵਿਦਿਆਰਥਣ ਜੋ ਕਿ ਦਸਤਾਰ ਸਜਾਉਂਦੀ ਸੀ। ਉਸ ਵਿਦਿਆਰਥਣ ਨੂੰ ਦਸਤਾਰ ਉਤਾਰਣ ਲਈ ਕਿਹਾ ਗਿਆ। ,"Feb 24,2022, 15:52 PM IST",ZEE News
3,"डॉ. संजय जायसवाल का बड़ा बयान, कहा-हिजाब मामले को बेवजह दिया जा रहा है तूल",बिहार भारतीय जनता पार्टी (Bharatiya Janata Party) के अध्यक्ष डॉ. संजय जायसवाल (Dr. Sanjay Jaiswal) ने शुक्रवार को कर्नाटक में हिजाब मामले को बेवजह का मुद्दा बनाकर तूल देने की बात कही. उन्होंने कहा कि कर्नाटक हिजाब मामले को बेवजह कुछ लोग तूल दे रहे हैं. कुछ लोग देश का माहौल खराब करते हैं.,"Feb 12,2022, 9:24 AM IST",ZEE News
4,Hijab Row:'पंगा गर्ल’ ने उड़ाई हिजाब गर्ल की धज्जियां..!,"Hijab Row: कर्नाटक के कई स्कूल-कॉलेज में हिजाब को लेकर बवाल मचा हुआ है. इसी बीच हाल ही में कर्नाटक के एक कॉलेज का वीडियो सामने आया था, जहां एक लड़की कॉलेज में हिजाब पहनकर आती है. तभी छात्रों की भीड़ लड़की की ओर बढ़ती है. देखते ही देखते ये मामला बढ़ जाता है. अब इस पर बॉलीवुड स्टार्स ने भी अपनी राय दी हैं, लेकिन इस बीच कंगना रनौत ने पूरे मामले पर ऐसी बात कही है कि सबके होश उड़ गए हैं.  ","Feb 11,2022, 12:16 PM IST",ZEE News
5,"हिजाब विवाद पर कैलाश विजयवर्गीय ने कही बड़ी बात, बोले- इसका परिणाम खतरनाक होगा!",कैलाश विजयवर्गीय ने ममता बनर्जी और अखिलेश यादव पर निशाना साधते हुए कहा कि उनके प्रचार से कोई फायदा नहीं होने वाला. ,"Feb 10,2022, 23:27 PM IST",ZEE News
6,"हिजाब विवाद पर शिवराज की मंत्रियों को नसीहत, सोच-समझकर बयान दें",बुधवार को कैबिनेट की बैठक के  दौरान सीएम शिवराज सिंह ने मंत्रियों को विवाद से बच के रहने की नसीहत दी है.,"Feb 9,2022, 16:49 PM IST",ZEE News
7,Hijab Controversy: उमा भारती ने अपनी सरकार के मंत्रियों को दे दी चेतावनी!!,Hijab Controversy: हिजाब पर विवाद की आग मध्य प्रदेश तक आ गई है. प्रदेश में मामले पर लगातार बयानबाजी हो रही है. बीजेपी के कई नेताओं की तीखी बयानबाजी के बाद सीएम को भी हस्तक्षेप करना पड़ा कि किसी भी प्रकार के कॉन्ट्रोवर्शियल बयान ना दें.,"Feb 9,2022, 16:39 PM IST",ZEE News
8,"Hijab Controversy: कैलाश विजयवर्गीय का कड़ा रुख, रामेश्वर शर्मा ने भी किया हमला",Hijab Controversy: कर्नाटक से मध्य प्रदेश (Hijab Controversy in MP) तक हिजाब पर विवाद बढ़ता जा रहा है. MP में स्कूलों में हिजाब बैन करने के बयान पर बीजेपी घिर रही है. पहले इसपर गृहमंत्री नरोत्तम मिश्रा ने बड़ा बयान देते हुए कहा कि सरकार के पास ऐसा कोई प्रस्ताव लंबित नहीं है. इसके बाद स्कूल शिक्षा मंत्री ने भी सफाई दी.,"Feb 9,2022, 16:05 PM IST",ZEE News
9,"MP में हिजाब पर विवादः स्कूल शिक्षा मंत्री की सफाई, मेरे बयान का गलत अर्थ निकाला",Hijab Controversy_स्कूल शिक्षा मंत्री ने कहा कि कुछ लोगों ने मेरे बयान का गलत अर्थ निकाल कर प्रस्तुत किया मैं उसका खंडना करता हूं. ,"Feb 9,2022, 14:07 PM IST",ZEE News
10,"हिजाब मामले पर मतभेद, स्कूल शिक्षा मंत्री के बयान पर नरोत्तम मिश्रा ने कहा 'ऐसा कोई प्रस्ताव नहीं'",हिजाब को लेकर मध्यप्रदेश में मतभेद दिखाई दे रहा है. स्कूल शिक्षा मंत्री के बयान पर गृह मंत्री नरोत्तम मिश्रा का बड़ा बयान आया है. उन्होंने कहा कि सरकार के पास ऐसा कोई प्रस्ताव लंबित नहीं है....,"Feb 9,2022, 12:00 PM IST",ZEE News
