,news_title,news_details,news_date,source_name
0,"23 Sep 2022
Kasam Samvidhaan Ki: Why delusion in India on Iran's hijab revolution?",Iran is smoldering over the hijab controversy. There is delusion in India on Iran's hijab revolution. BJP leader Subramanian Swamy Swamy said that there never will be a talk of banning the hijab in India.,23 Sep 2022,ZEE News
1,"21 Sep 2022
Janta Darbar : Is Karnataka the New 'Hindutva Laboratory'","The hijab controversy in Karnataka is not over yet that the state government has now decided to teach Srimad Bhagavad Gita in schools and colleges. Karnataka Education Minister BC Nagesh has argued that Bhagavad Gita is not a religious book but a way of life, in it there is no talk of worshiping God.",21 Sep 2022,ZEE News
2,"21 Sep 2022
Janta Darbar : Amid hijab row, Karnataka government mulls introducing Bhagavad Gita in school syllabus","The hijab controversy in Karnataka is not over yet that the state government has now decided to teach Srimad Bhagavad Gita in schools and colleges. Karnataka Education Minister BC Nagesh has argued that Bhagavad Gita is not a religious book but a way of life, in it there is no talk of worshiping God.",21 Sep 2022,ZEE News
3,"21 Sep 2022
Hijab campaign instigated by PFI: Karnataka government to apex court","The debate is going on in the Supreme Court regarding the Hijab controversy. Every day new facts are being presented from both the sides on this matter. On Tuesday, the Karnataka government has said that there is a conspiracy of PFI behind the hijab controversy.",21 Sep 2022,ZEE News
4,"21 Sep 2022
RSS chief Mohan Bhagwat meets Muslim intellectuals to discuss religious peace","RSS chief Mohan Bhagwat met with many Muslim intellectuals regarding religious inclusivity The meeting was attended by many intellectuals former CEC, former Delhi LG among others Discussions were held to strengthen peace among people in the country",21 Sep 2022,ZEE News
5,"20 Sep 2022
Students seeking nod to wear Hijab influenced by PFI, Karnataka tells SC","The Karnataka government argued that the campaign to wear hijab was of PFI. The government said that the decision to wear hijab was not of the girl students, they did as they were explained. Before 2021, there was no controversy regarding the hijab.",20 Sep 2022,ZEE News
6,"20 Sep 2022
Hearing on the petition filed against the hijab ban continues in the Supreme Court",The hearing on the petition filed against the hijab ban will continue in the Supreme Court even today. Several arguments were presented on Monday as well.,20 Sep 2022,ZEE News
7,"15 Sep 2022
Janta Darbar: Hijab ban would force Muslim girls to go back to madrassas?","After the Karnataka High Court ruling on the hijab, 17,000 girl students dropped out of school. On this, the Supreme Court has asked whether girls are being forced to wear hijab. Huzaifa Ahmadi, representing the petitioners, said the hijab ban would force the girls to return to the madrassa.",15 Sep 2022,ZEE News
8,"15 Sep 2022
Hijab row: After Karnataka High Court's decision on Hijab, 17 thousand girl students dropped out of school - Petitioner","After the Karnataka High Court ruling on the hijab, 17,000 girl students dropped out of school. On this, the Supreme Court has asked whether girls are being forced to wear hijab. Huzaifa Ahmadi, representing the petitioners, said the hijab ban would force the girls to return to the madrassa.",15 Sep 2022,ZEE News
9,"08 Sep 2022
Muslim student challenges SC on Hijab ban, says ‘wearing orange shawl...'","Muslim student challenged the SC on Hijab Row, said “wearing orange shawl is a belligerent display of religion He also questioned the administration of allowing Bindi, Kada and Cross, but restricting Hijab He also asked whether uniformity in public space is a ground to restrict Article 25",08 Sep 2022,ZEE News
