,news_title,news_details,news_date,source_name
0,"अमेरिका में खालिस्तान के समर्थन में रैली की पुरानी तस्वीर, पंजाब की बताकर वायरल","सोशल मीडिया पर हाथ में तख्ती पकड़े एक सिख की फोटो शेयर हो रही है. तख्ती पर लिखा है, ""राम मंदिर = हॉरर हाउस (Ram Mandir = Horror House)"". इस फोटो को शेयर कर दावा किया जा रहा है कि ये पंजाब का एक किसान है.
ये दावा पीएम नरेंद्र मोदी के काफिले के पंजाब में एक फ्लाईओवर पर कथित तौर पर सुरक्षा में हुई चूक की वजह से फंसने के कुछ दिनों बाद आया है.","12 Jan 2022, 12:54 PM IST",The Quint
1,"लखीमपुर खीरी कांड: SIT की चार्जशीट में मंत्री अजय मिश्र का नाम नहीं, 5 सवाल","लखीमपुर खीरी (Lakhimpur Kheri) में 4 किसानों और एक पत्रकार की हत्या के मामले में दर्ज एफआईआर में 3 जनवरी को एसआईटी ने कोर्ट में चार्जशीट दाखिल कर दी. एसआईटी ने इस चार्जशीट में 14 लोगों को आरोपी बनाया है, जिसमें मुख्य अभियुक्त केंद्रीय गृह राज्य मंत्री अजय मिश्र टेनी का बेटा आशीष मिश्रा भी है. इन 14 लोगों में मंत्री टेनी के करीबी वीरेंद्र शुक्ला का भी नाम हैं, जिनके ऊपर सबूत मिटाने का आरोप लगा है. लेकिन चार्जशीट में मंत्री टेनी का नाम नहीं होने से कई सवाल खड़े हो रहे हैं.","05 Jan 2022, 11:22 PM IST",The Quint
2,"बंगाल से त्रिपुरा तक, फेक न्यूज से 2021 की बड़ी घटनाओं को दिया सांप्रदायिक रंग","किसान आंदोलन (Farmers Protest) हो या पश्चिम बंगाल चुनाव (West Bengal Election), इजरायल-फिलिस्तीन (Israel-Palestine) संघर्ष हो या अमरावती में हुई हिंसा, इन सभी के दौरान एंटी मुस्लिम नैरेटिव के साथ फेक न्यूज स्प्रेडर्स ने झूठी खबरें फैलाईं.
मुद्दा कोई भी हो फेक न्यूज स्प्रेडर मुस्लिम एंगल लाकर एंटी मुस्लिम नैरेटिव फैलाते रहे. और सांप्रदायिक माहौल बिगाड़ने की कोशिश करते रहे. आइए डालते हैं साल के बड़े न्यूज इवेंट पर नजरें और उनसे जुड़े एंटी मुस्लिम या इस्लामोफोबिक झूठे दावों पर. साथ ही, जानते हैं कि ऐसा क्यों किया जाता है और इसमें सोशल मीडिया की क्या भूमिका है.","29 Dec 2021, 2:27 PM IST",The Quint
3,"किसान नेता गुरनाम चढ़ूनी ने बनाई नई पार्टी,पंजाब में 117 सीटों पर लड़ेंगे चुनाव","शनिवार, 18 दिसंबर को भारतीय किसान यूनियन (BKU) के नेता गुरनाम सिंह चढ़ूनी (Gurnam Singh Charuni) ने पंजाब में चुनाव लड़ने के लिए ‘संयुक्त संघर्ष पार्टी’ नाम की नई पार्टी लॉन्च की है.
एक प्रेस कॉन्फ्रेंस के दौरान गुरनाम सिंह चढ़ूनी ने कहा कि पंजाब (Punjab) के आगामी विधानसभा चुनाव में हम 117 सीटों पर चुनाव लड़ने की तैयारी कर रहे हैं. हालांकि उन्होंने कहा कि मैं पंजाब से चुनाव नहीं लड़ूंगा.","18 Dec 2021, 5:24 PM IST",The Quint
4,"किसान आंदोलन स्थल से घर लौट रहे किसानों के साथ हादसा- 2 की मौत, कई घायल","केन्द्र सरकार के द्वारा तीनों कृषि कानूनों (Farm Laws) को वापस लेने के बाद किसानों द्वारा आंदोलन स्थल को खाली किया जा रहा है. इसी बीच एक दुर्घटना का मामला सामने आया है.
शनिवार सुबह टिकरी बॉर्डर आंदोलन स्थल से लौटते वक्त नेशनल हाईवे 9 पर पंजाब के रहने वाले कुछ किसानों का व्हीकल हिसार में हादसे का शिकार हो गया.","14 Dec 2021, 4:17 PM IST",The Quint
5,राकेश टिकैत बोले- 'किसानों के मुद्दों पर चर्चा के लिए जारी रहेंगी महापंचायतें',"कृषि कानूनों (Farm Laws) की वापसी के बाद किसान आंदोलन (Farmers Protests) खत्म के बाद, भारतीय किसान यूनियन (BKU) के नेता राकेश टिकैत ने कहा है कि संगठन महापंचायत जारी रखेगा. टिकैत ने कहा कि समय-समय पर किसानों के मुद्दों पर चर्चा के लिए महापंचायत चलती रहेगी.
न्यूज एजेंसी ANI के मुताबिक, टिकैत ने कहा, ""हर साल, 10 दिन के लिए किसान आंदोलन मेला का आयोजन किया जाएगा. समय-समय पर किसानों के मुद्दों पर चर्चा के लिए महापंचायत आयोजित की जाएगी.""","12 Dec 2021, 10:07 AM IST",The Quint
6,"आटा-चावल लाये, नंबर से मोर्चे पर आये-12 महीने के किसान आंदोलन की 12 कामयाब कहानी","कृषि कानून वापस (Farm Laws Repealed) होने के बाद और एमएसपी (MSP) समेत सभी मुद्दों पर सरकार के साथ समझौते के बाद किसानों ने आंदोलन (Farmer Protest) स्थगित कर दिया है. 12 महीने तक चले इस लंबे आंदोलन के आगे आखिरकार सरकार को झुकना पड़ा, खुद प्रधानमंत्री मोदी (PM Modi) ने टीवी पर आकर कानून वापसी का ऐलान किया और माफी भी मांगी.","10 Dec 2021, 7:43 PM IST",The Quint
7,"12 महीने आंदोलन, 3 कृषि कानून वापस और 5 वादे-सरकार ने क्या खोया-क्या पाया?","18 जून 2021 को अपने ट्विटर अकाउंट से एक वीडियो शेयर कर केंद्रीय कृषि मंत्री ने कहा था कि कृषि कानून वापसी को छोड़कर, एक्ट से संबंधित प्रावधान पर कोई भी किसान (Farmer) समिति आधी रात को बात करने को तैयार है तो नरेंद्र सिंह तोमर (Narendra Singh Tomar) उसका स्वागत करता है. लेकिन अब कानून वापस हो चुके हैं और किसान एक साल से ज्यादा आंदोलन करने के बाद घर वापस लौट रहे हैं. इतना ही नहीं एमएसपी (MSP) पर भी कमेटी बनाने की बात भी की गई है.","09 Dec 2021, 10:27 PM IST",The Quint
8,घर लौटने से पहले दिल्ली के बॉर्डर पर युवाओं को क्यों बुला रहे किसान?,एक साल बाद आखिरकार किसान आंदोलन (Farmers Protest) खत्म होने जा रहा है. केंद्र सरकार ने किसानों की तमाम मांगों को लेकर एक प्रस्ताव दिया है. जिस पर किसान संगठन सहमत हो गए हैं. 11 दिसंबर को किसान दिल्ली की सीमाओं से घरों के लिए कूच करेंगे. इसके लिए तैयारियां शुरू हो चुकी हैं. तमाम किसानों को बॉर्डर पर जुटने के लिए कहा जा रहा है.,"09 Dec 2021, 6:15 PM IST",The Quint
9,"सरकार के वो पांच वादे, जिनकी वजह से एक साल बाद खत्म हुआ किसान आंदोलन","राजधानी दिल्ली की सीमाओं पर पिछले 380 दिनों से चल रहा किसान आंदोलन (Farmers Protest) आखिरकार खत्म हो चुका है. सरकार की तरफ से नए प्रस्ताव के बाद आखिरकार किसानों ने ऐलान किया कि वो 11 दिसंबर से अपने घरों की ओर लौटेंगे. इससे पहले केंद्र सरकार ने किसानों के आंदोलन के चलते तीनों कृषि कानूनों को वापस लिया. लेकिन इसके बाद भी किसान अपनी कुछ मांगों को लेकर डटे रहे. अब सरकार की तरफ से पांच वादों का एक प्रस्ताव दिया गया, जिस पर किसान सहमत हो गए.","09 Dec 2021, 4:50 PM IST",The Quint
