news_title,news_details,news_date,source_name,event,Political Bias,Social Bias
"अमरावती (Amravati) में मेडिकल स्टोर के मालिक उमेश कोल्हे की हत्या (Umesh Kolhe murder) सिर्फ इसलिए कर दी गई थी, क्योंकि उन्होंने नुपुर शर्मा(Nupur Sharma) के समर्थन में सोशल मीडिया पर पोस्ट लिखा था. जांच एजेंसी एनआईए इस मामले में अभी तक आठ के करीब आरोपियों को गिरफ्तार कर चुकी है.",-,"मंगलवार सितम्बर 13, 2022 09:37 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"विरोधियों पर जमकर बरसे मनसे प्रमुख राज ठाकरे, नूपूर शर्मा के समर्थन में बोली बड़ी बात",राज्य की मौजूदा हालात पर राज ठाकरे बोले कि अभी जो राज्य में हुआ वो राजनीति नही है. मुझसे पूछा गया था आपने भी बगावत की थी? मैंने कोई बगावत नहीं की. मैं बालासाहेब को मिलकर उन्हें बता कर बाहर निकला था. जब मैं बाला साहेब से मिला तब उन्होंने दोनो हाथ फैलाकर मुझे गले लगाया और कहा कि जा. इसलिए मैने कोई दगा नहीं की. आप सबके भरोसे पर पार्टी खड़ी की.,"मंगलवार अगस्त 23, 2022 02:54 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
"नूपुर शर्मा की हत्या की फिराक में था जैश का संदिग्ध आतंकी, यूपी के सहारनपुर से हुआ गिरफ्तार",पाकिस्तान और अफगानिस्तान के जैश ए मोहम्मद और तहरीक ए पाकिस्तान के आतंकियों से नदीम चैट और वॉइस मैसेज के जरिए बातचीत कर रहा था.,"शुक्रवार अगस्त 12, 2022 08:29 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Anti Muslim
BJP की पूर्व प्रवक्ता नूपुर शर्मा के खिलाफ सभी FIR दिल्ली ट्रांसफर होंगी : सुप्रीम कोर्ट,सुप्रीम कोर्ट ने बुधवार को हुई सुनवाई के ये फैसला सुनाया. सुप्रीम कोर्ट ने सुनवाई के बाद कहा कि इन तमाम FIR को लेकर जांच अब दिल्ली पुलिस करेगी.,"बुधवार अगस्त 10, 2022 04:39 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
नूपुर शर्मा के समर्थन में पोस्ट करने पर अहमदनगर में युवक पर जानलेवा हमला,पुलिस की शुरुआती जांच में पता चला है कि चार अगस्त की शाम मुस्लिम समुदाय के 10 से 15 युवकों ने पहले प्रतीक को उसके दोस्त अमित के साथ अक्काबाई चौक पर रोका और बाद में उसपर तलवार और डंडों से हमला किया.,"शनिवार अगस्त 6, 2022 08:57 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"नूपुर शर्मा की हत्या की साज़िश के पीछे पाकिस्तानी संगठन, सीमापार से भेजा आतंकी गिरफ्तार",भाजपा की निलंबित प्रवक्ता नूपुर शर्मा की कथित तौर पर हत्या करने के लिए अंतरराष्ट्रीय सीमा के रास्ते भारत आए एक पाकिस्तानी नागरिक को राजस्थान के श्रीगंगानगर जिले में गिरफ्तार किया गया है.,"गुरुवार जुलाई 21, 2022 09:21 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"MP: नूपुर शर्मा का समर्थन करने पर बजरंग दल के कार्यकर्ता पर हमला, दो गिरफ्तार",आयुष का कहना है कि आरोपियों ने पहले उस से पूछा कि क्या उसका नाम आयुष जादम है. जब उसने हां कहां तो सभी लोग उसपर टूट पड़े.,"बुधवार जुलाई 20, 2022 11:33 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
नूपुर शर्मा की हत्या के इरादे से भारतीय सीमा में घुसा पाकिस्तानी युवक गिरफ्तार,"आरोपी रिजवान पाकिस्तान (Pakistani) के मंडी बहाउद्दीन शहर का रहने वाला है. वह भाजपा (BJP) की निलंबित प्रवक्ता नूपुर शर्मा (Nupur Sharma) की हत्या के इरादे से भारत की सीमा में दाखिल हुआ था, जिसे बीएसएफ(BSF) ने गिरफ्तार कर लिया.","मंगलवार जुलाई 19, 2022 09:47 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"""उनकी जिंदगी, आजादी की रक्षा करने की जरूरत है"": नूपुर शर्मा को राहत देते हुए सुप्रीम कोर्ट","नूपुर की ओर से पेश हुए वकील मनिंदर सिंह ने कहा, ""नूपुर की जान को गंभीर खतरा है. अभी खबर मिली है कोई जान से मारने के लिए पाकिस्तान से आया है, जो पकड़ा गया है. पटना में पकड़े गए लोगों के वाट्सएप में नूपुर का पता मिला.""","मंगलवार जुलाई 19, 2022 07:41 PM IST",NDTV News,Nupur Sharma Controversy,Neutral,Pro Hindu
"युवक का आरोप- नूपुर शर्मा का समर्थन करने पर 6 बार चाकू मारा, SP बोले- मामला कुछ और",सीतामढ़ी के एसपी ने नूपुर शर्मा वाले एंगल से इंकार किया है. उनका कहना है कि कुछ युवक पान की दुकान पर सिगरेट पी रहे थे. धुएं को लेकर झगड़ा हुआ. इस मामले की जांच की जा रही है.,"मंगलवार जुलाई 19, 2022 11:02 AM IST",NDTV News,Nupur Sharma Controversy,Neutral,Neutral
