,news_title,news_details,news_date,source_name
0,"Satyendra Jain केस में ED पर ही हाई कोर्ट सख्त, दे दिया नोटिस और मांगा जवाब","राउज एवेन्यू कोर्ट के प्रधान जिला और सत्र जज विनय कुमार गुप्ता ने Satyendra Jain केस को स्पेशल CBI जज विकास ढुल के पास ट्रांसफर कर दिया था. HC में इस फैसले के खिलाफ याचिका दायर की गई थी, जिसपर सुनवाई करते हुए HC ने ED को नोटिस जारी कर जवाब मांगा है.","Sep 26,2022, 12:53 PM IST",ZEE News
1,"पटियाला कोर्ट से जैकलीन को बड़ी राहत, 50,000 के निजी मुचलके पर जमानत",जैकलीन फर्नांडीस को 200 करोड़ के मनी लॉन्ड्रिंग मामले में पटियाला हाउस कोर्ट ने बड़ी राहत दी है. कोर्ट ने मामले में जैकलीन को 50 हजार के निजी मुचलके पर जमानत दे दी. मामले में अब अगली सुनवाई 22 अक्टूबर को होगी. ,"Sep 26,2022, 11:41 AM IST",ZEE News
2,मनी लॉन्ड्रिंग केस में जैकलिन फर्नांडीस को पटियाला हाउस कोर्ट से मिली अंतरिम जमानत,Jacqueline Fernandez: 200 करोड़ रुपये के मनी लॉन्ड्रिंग केस में जैकलिन फर्नांडीस को पटियाला हाउस कोर्ट से बड़ी राहत मिली है. कोर्ट जैकलीन को 50 हजार रुपये के मुचलके पर अंतरिम जमानत दे दी है.,"Sep 26,2022, 11:36 AM IST",ZEE News
3,"सुकेश चंद्रशेखर से मिले कितने करोड़ के गिफ्ट, जैकलीन फर्नांडीज ने बताया...",दिल्ली पुलिस की आर्थिक अपराध शाखा (EoW) ने सुकेश चंद्रशेखर 200 करोड़ रुपये की ठगी के मामले में आज फिर जैकलीन फर्नांडीज से पूछताछ कर रही है. साथ ही जैकलीन की फैशन डिजाइनर लीपाक्षी से भी पूछताछ की जा रही है. मिली जानकारी के अनुसार जैकलीन ने सुकेश से 5 करोड़ 71 लाख रुपये के गिफ्ट्स लिए थे. जैकलीन की संपत्ति को भी अटैच कर दिया गया है.,"Sep 19,2022, 15:54 PM IST",ZEE News
4,"पार्थ चटर्जी के खिलाफ ED का बड़ा एक्शन, टीचर भर्ती घोटाले में लिप्त हैं पूर्व मंत्री",Teacher Recruitment Scam: पश्चिम बंगाल के पूर्व मंत्री पार्थ चटर्जी (Partha Chatterjee) और उनकी करीबी अर्पिता मुखर्जी (Arpita Mukherjee) की प्रवर्तन निदेशालय (ED) ने 48.22 करोड़ की संपत्ति अटैच की है. ,"Sep 19,2022, 15:51 PM IST",ZEE News
5,"Urfi Javed को दीदी बोल बुरी फंसी Chahatt, कहा फ्री में मिले Gucci Bag एंजॉय करो चाची",Conman Sukesh Chandrashekhar: सुकेश चंद्रशेखर द्वारा 200 करोड़ रुपये की ठगी के मामले में जैकलीन फर्नांडीज और नोरा फतेही के बाद चाहत खन्ना और निक्की तंबोली का नाम भी सामने आया है. आरोप है कि चाहत और निक्की को भी सुकेश ने पैसे और महंगे गिफ्ट दिए थे. इस बात के सामने आते ही उर्फी जावेद और चाहत खन्ना के बीच एक बार फिर विवाद शुरू हो गया है. ,"Sep 19,2022, 13:09 PM IST",ZEE News
6,मंत्री सत्येंद्र जैन के खिलाफ मनी लॉन्ड्रिंग केस में चल रही कार्रवाई पर लगी रोक,"Satyendara Jain: मनी लॉन्ड्रिंग केस में दिल्ली के स्वास्थ्य मंत्री सत्येंद्र जैन के खिलाफ चल रही कार्रवाई पर रोक लगा दी गई है, ED ने इस मामले को सुनवाई स्पेशल जज गीताजंलि गोयल के कोर्ट से दूसरे कोर्ट में ट्रांसफर करने की मांग की है. ED के द्वारा पूरी सुनवाई दूसरे कोर्ट में ट्रासंफर करने की मांग ऐसे वक्त में की गई है, जब उनकी जमानत अर्जी पर सुनवाई अंतिम चरण में थी. इस फैसले के बाद अब जमानत याचिका पर सुनवाई पर भी रोक रहेगी. अगली सुनवाई 30 सितंबर को होगी.","Sep 19,2022, 12:09 PM IST",ZEE News
7,"200 crore money laundering case: ଆଜି ଜ୍ୟାକଲିନଙ୍କୁ ଜେରା ,ଦିଲ୍ଲୀ ପୋଲିସକୁ ମିଳିବ ବଡ ତଥ୍ୟ",Jacqueline Fernandez : ବିବାଦରେ ସିଂହଳ ସୁନ୍ଦରୀ । ଠକ ସୁକେଶ ପାଇଁ ଟେନସନରେ ଜ୍ୟାକଲିନ୍ । ବଲିଉଡ ଅଭିନେତ୍ରୀ ଜ୍ୟାକଲିନ ଫର୍ଣ୍ଣାଣ୍ଡିଜଙ୍କ ପାଇଁ ଅଡୁଆ ଧିରେ ଧିରେ ବଢିବାରେ ଲାଗିଛି ।ବେଆଇନ ଅର୍ଥ କାରବାର ମାମଲାରେ ଆଜି ପୁଣି ଥରେ ଜ୍ୟାକଲିନ ଫର୍ଣ୍ଣାଣ୍ଡିଜ(Jacqueline Fernandez)ଙ୍କୁ ଜେରା କରିବ ଦିଲ୍ଲୀ ପୋଲିସର ଅର୍ଥନୈତିକ ଅପରାଧ ଶାଖା (Economic Offenses Wing of Delhi Police) ।,"Sep 19,2022, 10:49 AM IST",ZEE News
8,"जैकलीन फर्नांडिस से आज एक बार फिर EOW करेगी पूछताछ, सामने आ सकते हैं कई और राज","सुकेश चंद्रशेखर के द्वारा 200 करोड़ रुपये की ठगी के मामले में आज एक बार फिर जैकलीन फर्नांडीज को पूछताछ के लिए बुलाया गया है, साथ ही EOW ने जैकलीन की फैशन डिजाइनर लीपाक्षी भी बुलाया है. ","Sep 19,2022, 9:08 AM IST",ZEE News
9,200 करोड़ की ठगी का सवाल!,200 करोड़ की ठगी मामले में आरोपी सुकेश चंद्रशेखर और नोरा फतेही से पूछताछ जारी है. ज़ी न्यूज़ के पास नोरा फतेही और सुकेश चंद्रशेखर को आमने-सामने बैठाकर पूछताछ की डिटेल्स हैं.,"Sep 15,2022, 21:38 PM IST",ZEE News
