,news_title,news_details,news_date,source_name
0,"नवीन जिंदल ने लिखा- 'जय श्री राम', मिली 'सर तन से जुदा' की धमकी, जानें पूरा मामला",Naveen Jindal Threat: पैगंबर मुहम्मद को लेकर कथित विवादित टिप्पणी के लिए भाजपा द्वारा बर्खास्त किए गए नवीन जिंदल को ट्विटर पर जान से मारने की धमकी मिली है.,"Sep 14,2022, 22:10 PM IST",ZEE News
1,Delhi Ncr Haryana Live news: BJP का मिशन 2024: पार्टी ने किया राज्य प्रभारी और सह-प्रभारी के नामों का ऐलान,"भारतीय जनता पार्टी ने शुक्रवार यानी की आज विभिन्न राज्यों के प्रभारियों और सह-प्रभारियों की जिम्मेदारी में बड़ा बदलाव कर दिया है. इसके अंतर्गत पूर्व मुख्यमंत्री विजय रुपाणी, बिप्लब देब और पूर्व केंद्रीय मंत्री प्रकाश जावड़ेकर को क्रमशः पंजाब, हरियाणा, केरल में पार्टी मामलों का प्रभारी बनाया गया. राज्यों में होने वाले आगामी विधान सभा चुनावों के साथ-साथ 2024 में होने वाले लोक सभा चुनाव के चलते इन बदलावों को काफी महत्वपूर्ण माना जा रहा है.","Sep 9,2022, 8:19 AM IST",ZEE News
2,"Taal Thok Ke: 'सिर तन से जुदा' के नारे, घर-घर अंगारे?",हैदराबाद में पैगंबर साहब पर विवादित टिप्पणी के आरोपी BJP के निलंबित विधायक टी राजा सिंह जब कल कोर्ट से घर पहुंचे तो उनका स्वागत ऐसे किया गया जैसे कोई बड़ी जंग को जीतकर लौटे हों. वहीं दूसरी तरफ टी राजा सिंह की रिहाई के विरोध में हैदराबाद के अलग-अलग हिस्सों में जमकर हंगामा हुआ और जगह-जगह सर तन से जुदा के उन्मादी नारे लगाए गए और लगवाए गए.,"Aug 24,2022, 20:46 PM IST",ZEE News
3,"कन्हैया लाल कांड की तर्ज पर मुज्जफरनगर में टेलर को दी धमकी, एक्शन में योगी की पुलिस",सोशल मीडिया पोस्ट को लेकर अभी राजस्थान के उदयपुर हत्याकांड की यादें पुरानी नहीं हुई हैं. इसी कड़ी में उत्तर प्रदेश के मुजफ्फरनगर में एक टेलर को धमकी भरा खत मिला है. पत्र में कन्हैया लाल और नुपूर शर्मा का जिक्र करते हुए जान से मारने की धमकी दी गई है.,"Aug 24,2022, 19:20 PM IST",ZEE News
4,"नूपुर शर्मा के लिए अब राज ठाकरे ने कह दी ये बड़ी बात, याद दिलाया जाकिर नाइक का बयान",Prophet Comment Row: नूपुर शर्मा ने मई के आखिरी हफ्ते में एक टीवी चैनल पर डिबेट के दौरान पैगंबर मोहम्मद पर कमेंट किया था. इसको लेकर काफी बवाल हुआ था और देशभर में प्रदर्शन हुए थे.,"Aug 23,2022, 23:17 PM IST",ZEE News
5,"कौन हैं पैगंबर मोहम्मद पर आपत्तिजनक टिप्पणी करने वाले टी राजा, जानें उनके 6 विवादित","पैगंबर मोहम्मद पर विवादित टिप्पणी के मामले में गिरफ्तार हुए तेलंगाना के बीजेपी विधायक टी राजा सिंह को जमानत मिल गई है. लेकिन आखिर टी राजा हैं कौन? और इससे पहले किन-किन बयानों से वो सुर्खियों में आए, आइए जानते हैं.","Aug 23,2022, 23:05 PM IST",ZEE News
6,हैदराबाद हेट स्पीच की 'नई प्रयोगशाला'! 'सर तन से जुदा' गैंग का ब्रेन मैपिंग टेस्ट,"DNA Analysis: तेलंगाना में बीजेपी के विधायक टी राजा, जिन्होंने पैगंबर मोहम्मद पर विवादित बयान दिया. दूसरे स्टैंड अप कॉमेडियन मुनव्वर फारुकी, जो अकसर अपने शो में हिंदू देवी-देवताओं से जुड़ी अपमानजनक टिप्पणी करते रहे हैं.","Aug 23,2022, 23:02 PM IST",ZEE News
7,Deshhit: पैगंबर का अपमान...'सिर कलम' का फरमान,बीजेपी विधायक टी. राजा सिंह की पैगंबर साहब पर आपत्तिजनक टिप्पणी से तेलंगाना में बवाल बढ़ गया. आज उन्हें इस मामले में गिरफ्तार भी किया गया. राजा सिंह के वकील ने दावा किया है कि कोर्ट ने उन्हें फौरन रिहा करने का आदेश दिया है. पैगंबर साहब के अपमान का आरोप लगने के बाद BJP ने राजा सिंह को निलंबित कर दिया है और साथ ही उन्हें शो कॉज नोटिस भी जारी किया गया है.,"Aug 23,2022, 22:42 PM IST",ZEE News
8,"राज ठाकरे ने किया नूपुर शर्मा का खुला समर्थन, कह दी ये बड़ी बात",पैगंबर मोहम्मद के खिलाफ टिप्पणी को लेकर मनसे प्रमुख राज ठाकरे ने नूपुर शर्मा का समर्थन किया है. उन्होंने क्या कहा इस रिपोर्ट में पढ़िए..,"Aug 23,2022, 19:00 PM IST",ZEE News
9,"कौन हैं विवादों के 'राजा'? किया पैगंबर का अपमान, पहले 6 बार कर चुके हैं ये 'काम'","BJP से निलंबित किए गए विधायक टी राजा आखिर कौन हैं? जो अपनी विवादित टिप्पणी के चलते एक बार फिर सुर्खियों में हैं. ऐसा नहीं है कि उन्होंने पहली बार कोई आपत्तिजनक बयानबाजी की हो, इससे पहले भी कई बार वो ऐसा कर चुके हैं. इस बार उन्हें पार्टी से निलंबित कर दिया गया.","Aug 23,2022, 18:33 PM IST",ZEE News
