,news_title,news_details,news_date,source_name,event
0,"MSP को अधिक प्रभावी बनाने के लिए बनी समिति, संयुक्त किसान मोर्चा के सदस्य शामिल होंगे या नहीं, फैसला आज","जून, 2020 में लाये गये तीन विवादास्पद कृषि कानूनों के खिलाफ चले किसान आंदोलन को समाप्त करने के लिए सरकार और संयुक्त किसान मोर्चा (एसकेएम) के बीच सहमति के बिंदुओं में शामिल न्यूनतम समर्थन मूल्य (एमएसपी) पर समिति गठित करने का वादा किया था.","मंगलवार जुलाई 19, 2022 11:50 AM IST",NDTV News,Kisaan Andolan
1,"संयुक्त किसान मोर्चा करेगा ""वादाखिलाफी विरोधी सभा"" का आयोजन, केंद्र पर लगाया वादे से पीछे हटने का आरोप","सरकार की वादाखिलाफी के विरोध में, 18 जुलाई को संसद के मानसून सत्र की शुरुआत से 31 जुलाई शहीद उधम सिंह की शहादत दिवस तक, देशभर में जिला स्तर पर “वादाखिलाफी विरोधी सभा” आयोजित की जाएगी.","सोमवार जुलाई 4, 2022 07:13 AM IST",NDTV News,Kisaan Andolan
2,"'किसानों को स्टेडियमों में कैद करना चाहती थी केंद्र सरकार, लेकिन...': पंजाब में बोले अरविंद केजरीवाल","केजरीवाल ने कहा, "" दिल्ली सरकार ने आंदोलनरत किसानों की मदद की. उनको पीने का साफ पानी दिया, शौचालय की सुविधा दी, लंगर में खाना खिलाया. हमें खुशी है कि हमने किसान भाइयों की मदद की.""","रविवार मई 22, 2022 07:05 PM IST",NDTV News,Kisaan Andolan
3,किसान आंदोलन में प्रधानमंत्री मोदी पर हमलावर रहे गवर्नर सत्यपाल मलिक ने क्यों की प्रधानमंत्री मोदी की तारीफ़,किसानों के आंदोलन (Kisan Andolan) पर केंद्र सरकार के खिलाफ हमलावर तेवर अपनाते रहे मेघालय के राज्यपाल सत्यपाल मलिक (Satyapal Malik) ने पीएम नरेंद्र मोदी  (Narendra Modi) की तारीफ़ की है.,"शुक्रवार अप्रैल 22, 2022 05:53 PM IST",NDTV News,Kisaan Andolan
4,"संयुक्त किसान मोर्चा ने फिर की आंदोलन की घोषणा, सरकार पर लगाया वादे पूरा नहीं करने का आरोप",बैठक में लखीमपुर खीरी मामले में चल रही कानूनी प्रक्रिया की समीक्षा कर चिंता जताई गई कि पुलिस प्रशासन और अभियुक्त मिलकर अपराधियों को बचाने और बेकसूर किसानों को फंसाने की कोशिश कर रहे हैं.,"सोमवार मार्च 14, 2022 07:18 PM IST",NDTV News,Kisaan Andolan
5,"नहीं हो सकी संयुक्त किसान मोर्चा की बैठक, पंजाब में चुनाव लड़ने वालों पर लगाया मीटिंग पर कब्जा करने का आरोप",संयुक्त किसान मोर्चा (एसकेएम) न्यूनतम समर्थन मूल्य (एमएसपी) पर पैनल के गठन समेत किसानों से किए गए वादों पर केंद्र की अबतक की प्रगति की समीक्षा करने के लिए सोमवार को दिल्ली में बैठक करेगा.,"सोमवार मार्च 14, 2022 01:59 PM IST",NDTV News,Kisaan Andolan
6,"वेस्ट यूपी की करीब 70 फीसदी सीटें जीतने में सफल रही बीजेपी, सिर्फ तीन जिलों में मिली बड़ी हार, जानें वजह","मेरठ की सात सीटों में से 4 और मुजफ्फरनगर की 6 सीटों में से चार शामिल हैं. बीजेपी को मुरादाबाद की सभी छह सीटों, रामपुर और संभल, दोनों जिलों की चार में से तीन सीटों पर भी हार का सामना करना पड़ा.","रविवार मार्च 13, 2022 06:41 PM IST",NDTV News,Kisaan Andolan
7,"किसान नेताओं ने मामले वापस लेने के फैसले का स्वागत किया, केंद्र से अन्य वादों को पूरा करने का आग्रह",किसान नेता और एसकेएम की कोर समिति के सदस्य शिव कुमार कक्का ने आंदोलन के दौरान किसानों के खिलाफ दर्ज मामलों को वापस लेने के लिए दिल्ली के उप-राज्यपाल अनिल बैजल और दिल्ली सरकार की सराहना की.,"मंगलवार मार्च 1, 2022 10:32 PM IST",NDTV News,Kisaan Andolan
8,''ये पूजा-पाठ वाले नहीं बल्कि बलि लेने वाले पुजारी हैं'' : भाजपा पर राकेश टिकैत का कटाक्ष,"राकेश टिकैत ने आरोप लगाया कि भाजपा पिछले एक महीन से इस क्षेत्र में एक विशेष बिरादरी को निशाना बनाकर चुनाव प्रचार कर रही है. उन्होंने कहा, ‘‘यह एक संत और सूबे के मुख्यमंत्री को शोभा नहीं देता.","सोमवार फ़रवरी 7, 2022 12:04 AM IST",NDTV News,Kisaan Andolan
9,"राजेवाल और चढ़ूनी ने मिलाया हाथ, बोले- ""वह आगे बढ़ेंगे तो हम बॉर्डर पर नहीं बैठेंगे, सीधे संसद घेरेंगे""",गुरनाम सिंह चढूनी के नेतृत्व वाली संयुक्त संघर्ष पार्टी को 10 सीट मिली हैं. इन 10 सीटों में से 9 सीटों पर पार्टी ने अपने उम्मीदवार घोषित कर दिए हैं.,"गुरुवार जनवरी 20, 2022 12:20 AM IST",NDTV News,Kisaan Andolan
10,"पंजाब ने आंदोलन में मारे गए किसानों के परिजनों को दी सरकारी नौकरी, 27 को बांटे अप्वाइंटमेंट लेटर",पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी ने कृषि कानूनों के विरोध में आंदोलन के दौरान जान गंवाने वाले किसानों के परिवार के 27 सदस्यों को सरकारी नौकरी के नियुक्ति पत्र सौंपे. बता दें कि केंद्र ने अब तीनों कृषि कनूनों को वापस ले लिया है. ,"बुधवार जनवरी 5, 2022 09:19 AM IST",NDTV News,Kisaan Andolan
11,'भूमिहीन किसानों पर सरकार का अगला वार'... राकेश टिकैत ने सरकार पर लगाया आरोप,"टिकैत ने कहा, ‘‘सरकार का ध्यान किसानों की जमीन पर है इससे सचेत रहने की जरूरत है. सरकार का अगला वार उन भूमिहीन किसानों पर है जो पशु पालकर, दूध बेचकर गुजर-बसर करते हैं.''","सोमवार जनवरी 3, 2022 12:20 AM IST",NDTV News,Kisaan Andolan
12,कृषि कानूनों के विरोध में किसान आंदोलन सुर्खियों में रहा पर कृषि सुधारों की उम्मीद कायम,कोरोना महामारी से जुड़ी तमाम दिक्कतों के बीच वर्ष 2022 में भी बेहतर उपज की उम्मीद की जा रही है. देश में खाद्यान्न उत्पादन लगातार बढ़ रहा है. इससे सरकार को कई महीनों तक कोविड प्रभावित गरीब परिवारों के लिए मुफ्त अतिरिक्त राशन प्रदान करने में मदद मिली. वहीं कृषि कानून के खिलाफ दिल्ली की सीमाओं पर किसानों के लंबे विरोध के बाद इन्हें रद्द किया गया.,"मंगलवार दिसम्बर 28, 2021 04:40 PM IST",NDTV News,Kisaan Andolan
13,"पंजाब के किसान संगठनों का बड़ा फैसला, बोले- विधानसभा चुनाव में किसी का समर्थन नहीं करेंगे ",लुधियाना से करीब 20 किलोमीटर दूर मुल्लांपुर दाखा में एक संयुक्त बैठक में चुनाव में किसी राजनीतिक दल का समर्थन नहीं करने या चुनाव में भाग नहीं लेने फैसला लिया गया.,"रविवार दिसम्बर 19, 2021 12:59 AM IST",NDTV News,Kisaan Andolan
14,"घर पहुंचे किसान तो यूं खुशी से गले मिलीं बेटियां, इमोशनल कर देगा यह वीडियो",किसानों के घर लौटने के इस वीडियो को बॉलीवुड के डायरेक्टर ओनिर ने अपने ट्विटर एकाउंट पर शेयर किया है.,"गुरुवार दिसम्बर 16, 2021 01:15 PM IST",NDTV News,Kisaan Andolan
15,"आंदोलन खत्म होने के बाद जीत की खुशी संग घर लौटते किसान, नाचते-गाते आए नजर","ट्रैक्टरों के बड़े-बड़े काफिलों के साथ पिछले साल नवंबर में दिल्ली की सीमाओं पर पहुंचे आंदोलनरत किसानों ने शनिवार की सुबह अपने-अपने गृह राज्यों की तरफ लौटना शुरू कर दिया. साल भर से ज्यादा वक्त तक अपने घरों से दूर डेरा डाले हुए ये किसान अपने साथ जीत की खुशी और सफल प्रदर्शन की यादें लेकर लौट रहे हैं. किसानों ने सिंघु, टिकरी और गाजीपुर सीमाओं पर राजमार्गों पर नाकेबंदी हटा दी और तीन विवादास्पद कृषि कानूनों को निरस्त करने और फसलों के लिए न्यूनतम समर्थन मूल्य (एमएसपी) पर कानूनी गारंटी के लिए एक समिति गठित करने सहित उनकी अन्य मांगों को पूरा करने के लिए केंद्र के लिखित आश्वासन का जश्न मनाने के लिए एक ''विजय मार्च'' निकाला.","शनिवार दिसम्बर 11, 2021 10:08 AM IST",NDTV News,Kisaan Andolan
16,"किसानों का विजय मार्च आज, 15 महीने के संघर्ष के बाद 'जीतकर' लौट रहे घर","तीन कानूनों को रद्द करने की प्रधानमंत्री नरेंद्र मोदी की घोषणा के बाद, किसान अन्य मांगों का हवाला देते हुए विरोध स्थलों पर रुके हुए थे.","शनिवार दिसम्बर 11, 2021 08:39 AM IST",NDTV News,Kisaan Andolan
17,"""पापा तो वापस नहीं आएंगे"", किसान आंदोलन में मृत किसान के बेटे का छलका दर्द",सरकार के तीनों कृषि कानून वापस लेने के बाद दूसरे प्रस्ताव पर भी किसान संगठनों से सहमति बनने के बाद किसानों ने आंदोलन खत्म करने का ऐलान किया है.,"शुक्रवार दिसम्बर 10, 2021 06:51 PM IST",NDTV News,Kisaan Andolan
18,"आंदोलन खत्‍म कर सकते हैं किसान, बातचीत में सकारात्‍मक संकेत : सूत्र",Farmers Protest End : सूत्रों का कहना है कि केंद्र सरकार से किसानों को पत्र भेजा गया है. सरकार MSP पर कमेटी बनाएगी. आंदोलन में हुए सारे मुक़दमे वापस होंगे. पराली जलाने पर मुक़दमे नहीं होंगे.किसान सरकार के प्रस्ताव पर चर्चा कर रहे हैं. किसान आंदोलन वापसी पर फ़ैसला ले सकते हैं,"मंगलवार दिसम्बर 7, 2021 05:21 PM IST",NDTV News,Kisaan Andolan
